address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count 
GCTB3GWA4MU3G7DUAFQ2NFJN5WVFDLRQX4LDMZHY7EDHZQNTKQMSN5ZP,186,"272,604.00","136,395.00","136,209.00",0,255,256,511
GDFL7DH72RP4HQYJHB3PBNTFNIUWKUZU7NTWAKYKT6S6VGYE5LAMUXC6,181,181,181,0,0,1,10,11
GAMB2JTZUN54MX3NUCBNBLDXDVJI2CYKF2DDVLHR6BHMXN3PCONAETLZ,172,172,172,0,0,0,3,3
GCHB46DRZ6V3RCLRBOQWSMW6QB6CWQ6PPPFL5MRENFHLXOZBAKDBYYTD,167.16,1430,800,630,2.84,4,7,11
GB5VWPSYFE2HVNTXS2VWQGUZKAEOS65LHRJ3FG7Q6DYHG47U7X2VVXVU,162.38,437,300,137,0.62,4,3,7
GAM64OX4UPB2LISJDJ3DKXDY4EMHAO2IUL67JQ3W5XWX23DBY7HZX224,158,49242,24700,24542,0,158,158,316
GABDZO4MZE24BFA4EHG62VKKUUAZKWT2NCHG7OF5AIKDQ2HOEWZYV5UG,157.48,24787,12500,12287,55.52,15,22,37
GALYMH434HPOUJ56JU46AMX5VTIYTASVWKJMRV3T3Q42UWO5XG274E7C,156,140844,70500,70344,0,156,156,312
GD46PRZ5OLTTLH33OEGNXGY5IO2BTGJIRRJVEHCLTKV4MLGDJZAOGZ37,155,147845,74000,73845,0,155,155,310
GBLPG6OFQR34AVG2VGFL7RPEBZ7BSFTDS5X2Z7F7ZS6VYLDCMCDVC6LG,153,316449,158301,158148,0,221,221,442
GC3CU37266M72BV52ORMWDGIKSQK3VPMIJBMSBDSESTLABUJ4LWB7ZUE,152,92848,46500,46348,0,152,153,305
GCHKRKHBU4UXTLGQSR5ADQBJAEETT4PKJTBUUISLIH75WISDT3XJEWO5,146,146,146,0,0,0,1,1
GDLT5TV2KLR4VWIXPMCIAD26ENY7YAG47RFWMWFEEEXQ3N6RH4WWYVUP,145,35453,17799,17654,0,146,146,292
GCFPIGUMGIIELSUOICHNN7X4U3JFXWJ5QWHD3OTG35AI4PFQF6EBRQAJ,142,93508,46825,46683,0,142,144,286
GC4IQIT2SZ2WYW77YG2DBCRMFYODKGU2KMWWORVWVLAOYW6WAMZOGVR7,141,141,141,0,0,0,3,3
GAZ24G3R2LY3TYO32QLFSAAPNJANBL56JAJJFQOO2MUGGT44XM7PZOET,139,139,139,0,0,0,1,1
GAUC7YNXDOY2AG4KI627T7FYF4AQ5EWXO36IWCIGL24NJK6SPNSIDJUA,138,138,138,0,0,0,2,2
GAKU2I3UJ3S4Z63WDSK7JKKB75G464ONQRY3QIUJZFLIWU3DIVZIV5ON,135.97,146,141,5,0.03,2,16,18
GCQDQRJPGWD6DSXQMRTW6CFSFLFGKZIZTVKLMTTDQIJGFIGNVNCLLHQD,131,131,131,0,0,1,2,3
GAYX4X26JODENFK5BN2PHRLYK5ST7KWD5Q42GUDR6MD2JPKVP6YYTHVI,127,127,127,0,0,0,6,6
GD6ZISNGN2KKFD5ZQTH5UXH7YDORSWBBKD3U2NIKH4B4MC2KXQOIGMUL,119,176081,88100,87981,0,119,119,238
GC4EDF7S7UCWIEGOKAAAQHPBBDXKMEXNJ5GXWZP4B5KBYYCP3BM45V6O,117,25283,12700,12583,0,117,117,234
GD2T5XBLAFT2ANVXF5SOC3E2KPYRIICVLL422QLZZ5M3JWVZXDIMI5PS,117,123813,61965,61848,0,120,120,240
GAQE2Y3MYN3D2DWM5AOVIUZ62KUAZC4Q53K2EBO3OG6BLTSFDYWYWPY4,117,170565,85341,85224,0,120,120,240
GAG66SB7ARAGGJPC5QTZAANVYIH4TSVGONODUSFUREJ6OBZLYQB6HIGL,115,115,115,0,0,0,1,1
GDZ5XSQ5VTRELI2JBDY7Z2CRC3MEHGUAMWEHNM6TY3W4PGXCTPLMVRI6,112,50712,25412,25300,0,199,199,398
GAW3OMMQPFH5GNSOFUUMJEAJC5RTAJPEA6XPCYGNHQFCMEKMR4SVQHFA,109,111,110,1,0,1,2,3
GDQDQL67YJYQA5QORAGLCPUAWSZHPFYIJ4R5VDIKZUVUDRKSVB6E4IPH,107,107,107,0,0,0,9,9
