address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count 
GACFL57NZDA6Y4PQEJLQZUQTZHUWIYIVDZOSI6EFIYII2C5HLEOTIARY, 618.22 , 618.22 , 618.22 , -   , -   , -   , 1 , 1 
GCNKNLU5TWNVD3F4WHZ7QEC5W42UGJPIOYJGAZZ3AUVERALVCJ73WFCI, 614.68 , 614.68 , 614.68 , -   , -   , -   , 4 , 4 
GBZLJSTS5OW3SQTVASVAS7LG3SWXX6AFLS56J6YGKP4NROA5QQJAW7FH, 602.72 ," 1,794.60 "," 1,200.00 ", 594.60 , 2.68 , 2 , 3 , 5 
GCSEBE3UOOEOZFB5TUJAOK5NNWWNHVGBRTNERMVJRYKQK4FMB6VJIXNP, 601.90 , 601.94 , 601.92 , 0.02 , 0.00 , 1 , 4 , 5 
GCHQQVXXFPGLJPYMOSWDBGVJ7A6O7EZGCF4RBH3D77AWOLQ2THUONNDH, 600.09 ," 9,380.20 "," 5,000.00 "," 4,380.20 ", 19.71 , 8 , 11 , 19 
GBHRAM7BEGXHUXNVCW2OWAJVODIJCUWBRFAXSGMH5WWE3FX644NR2Z3K, 600.02 , 999.08 , 800.00 , 199.08 , 0.90 , 3 , 3 , 6 
GAHNKKBEM3AJW2MPRSXUAS74LIPKWVNAF5HC5ILSGCH6Z35L4XXOSCTE, 600.00 , 600.00 , 600.00 , -   , -   , -   , 3 , 3 
GC2YCBXQCOWKJO7WFK6VQE7NNFF3II5YPVPPBYHCEWMGMUS74JLFQRES, 600.00 , 600.00 , 600.00 , -   , -   , -   , 1 , 1 
GDGKR5QIIOLNIOSTBOXIV2GQGMLLE6ETP7WE5TCDNGVFPL3KVU5J24V3, 600.00 , 600.00 , 600.00 , -   , -   , -   , 3 , 3 
GDAA7W3DUQISK5IK7NVY3H324QBDBEQAJZ4RIXMEO7TZ5AMBADIRSLFQ, 600.00 , 600.00 , 600.00 , -   , -   , -   , 1 , 1 
GCHB46DRZ6V3RCLRBOQWSMW6QB6CWQ6PPPFL5MRENFHLXOZBAKDBYYTD, 599.10 ," 1,000.00 ", 800.00 , 200.00 , 0.90 , 2 , 4 , 6 
GAM2UCPC6XTHV7A527B5UEOIGBSAX4JZDERSJ6JDM7QWFZ7BWXR6SANB, 597.29 , 597.29 , 597.29 , -   , -   , -   , 2 , 2 
GDGBMXEEEPU6DLQLATLJIEPCKKHP75MMKMUZID3BBPT3CVXEBU6267SI, 556.97 , 557.01 , 556.99 , 0.02 , 0.00 , 1 , 3 , 4 
GDYGCMYYX2U57NQXY4TGUZ7SV7QNRG3HCMXTHIHOWWAJTIBB24WQHKR4, 539.83 , 539.87 , 539.85 , 0.02 , 0.00 , 1 , 4 , 5 
