address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count ,
GC7VP7PCAMGIKBD7GDGNFACI2NFY33B6C22EHHZ7NWZQWNHSJ2BRJEK6, 300.00 , 300 , 300.00 , -   , -   , -   , 1 , 1 ,
GCKTCPCLPDRC3GJLT67HC6QWRTBKMOKDBAICJ6WZSQ5BIFHJQY3FZENH, 300.00 , 300 , 300.00 , -   , -   , -   , 2 , 2 ,
GDUO5T2E4HF7P2RVIKZLAPBYTRC4CA273DD6YNAG7L4RQNJPPKMNCOAJ, 300.00 , 300 , 300.00 , -   , -   , -   , 3 , 3 ,
GB7XS56W4AJ3HHKOX4TSEQCQ2ZMHQSEYS6IYLQATH4QKEGVDL2KMXOBQ, 299.83 , 300 , 299.83 , -   , -   , -   , 2 , 2 ,
GA7G5YMPXGHJE7I6VWOQQ7FCJ3AVS7XN5OLT6XYB3UUA7WIP4OQ4U37W, 299.59 , 482 , 391.00 , 91.00 , 0.41 , 2 , 2 , 4 ,
GDHB2A5FGT7ZD6LWZPYDE2TSU3X4OJ5B6UCZYNGJRCD4VDLT6UNGJS56, 299.55 , 500 , 400.00 , 100.00 , 0.45 , 1 , 3 , 4 ,
GDFL7DH72RP4HQYJHB3PBNTFNIUWKUZU7NTWAKYKT6S6VGYE5LAMUXC6, 238.95 , 239 , 238.97 , 0.02 , 0.00 , 1 , 17 , 18 ,
GAKU2I3UJ3S4Z63WDSK7JKKB75G464ONQRY3QIUJZFLIWU3DIVZIV5ON, 236.24 , 248 , 242.16 , 5.90 , 0.03 , 2 , 34 , 36 ,
GDXOCT3NGHGOX324LPF2IQ6ORUJ2XAUR7O5DGOCVROYWCLUNRQ3RQYCQ, 228.11 , 228 , 228.11 , -   , -   , -   , 4 , 4 ,
GAOO5KJRQJN2ONWU3SKCEVMMGJ4WYF7YAZSGROTEUQQL5MNIOUE3ZDVW, 222.00 , 222 , 222.00 , -   , -   , -   , 2 , 2 ,
GB7ZVGR75O2JNDQTOYAR6TIT3XU3VPXEDZKITMFKDGZSYEJBPPTQU7BD, 205.16 ," 1,298 ", 752.61 , 545.00 , 2.45 , 5 , 2 , 7 ,
GATDJ7WEWXPWFN7YYJWZETJE5RG7QTLQA4JXVIUJGQ5LSCRMAFSBYYNU, 201.06 , 364 , 282.49 , 81.06 , 0.36 , 5 , 5 , 10 ,
GACL5JUNDLJ276GINQEWLGGGJE2N2LBIJEBIPPHLTJIJMO5QLGRGEXOC, 200.31 ," 1,397 ", 800.00 , 597.00 , 2.69 , 3 , 4 , 7 ,
GDALPXOEXORCC3ND6Z2Q3WEYUYGJDZN657XU36VB4NX2OGPTGVIK5EJV, 200.29 , 200 , 200.31 , 0.02 , 0.00 , 1 , 5 , 6 ,
GA57BFGT5NHEBALCBDVUE3OROK6QPKVJVGSG7S46SKHWYFHG4B3QGMGB, 200.19 ," 4,191 "," 2,200.00 "," 1,990.85 ", 8.96 , 11 , 11 , 22 ,
GAM5RLGKTGGBPOHXRBZJTMBPSSWMBCEUNZROS4GRZYQXMVFOAOXCQHQK, 200.02 , 400 , 300.00 , 99.53 , 0.45 , 1 , 2 , 3 ,
GD6YUQUS5QZHKZ7CWZ3U3ZSSX7DLEEQG54SSU6ASJMJTDT3QQWOUEGLK, 200.02 , 400 , 300.00 , 99.53 , 0.45 , 1 , 3 , 4 ,
GDWS4DRJ4XJV57N3NYDF4KVSIWC72D267LV3RT2IAAVZSCAF27NTITLC, 200.00 , 200 , 200.00 , -   , -   , -   , 1 , 1 ,
GDRXJHKWCHCEQR6P5S5PVUO5GULYFZC7U3GNCRSB5ZAZZFW25M6BX3GU, 200.00 , 200 , 200.00 , -   , -   , -   , 2 , 2 ,
GDVDBLEGKMI6KUBS4TD5X7TYB456IWW2ZIUUWEQIQO4G4W2FC2SBH2JO, 200.00 , 200 , 200.00 , -   , -   , -   , 2 , 2 ,
GC2YCBXQCOWKJO7WFK6VQE7NNFF3II5YPVPPBYHCEWMGMUS74JLFQRES, 200.00 , 200 , 200.00 , -   , -   , -   , 1 , 1 ,
GDP7TN7QZ6D2KBXN7JNDO5NLSUQHXGJDSV3WINU5UKREOZ45QCWIV474, 200.00 , 200 , 200.00 , -   , -   , -   , 1 , 1 ,
GD2VWO3I5RJIAIPCQEMHMUSWL4WVMZD4Z7LUAUSZIHEBMG6YXCAVMVKL, 200.00 , 200 , 200.00 , -   , -   , -   , 2 , 2 ,
GCDMHR7EJSQLYZGULVMBPF5XUGBLP3SZ4ZO6A5JNF7QJNCWXNBJIU5CP, 200.00 , 200 , 200.00 , -   , -   , -   , 2 , 2 ,
GBOYIZKWZKSKVXEJTX7NWS4B36YPDGFKEB46GQ3RPFSHKKKNBX64GAVE, 200.00 , 200 , 200.00 , -   , -   , -   , 2 , 2 ,
GB2X4AW7FSUXPEFO2SJ7XZA6OM3CISM6TRZJH4LTS63DA34SC6KEVVUX, 200.00 , 200 , 200.00 , -   , -   , -   , 2 , 2 ,
GAKVG33MJUPNFHBUQVWAUX3T2OSY43L4RAGQ5LLCZ3UZ3KQQCHWIVZCS, 200.00 , 200 , 200.00 , -   , -   , -   , 2 , 2 ,
GCVIOPFWM4NAUKFPZIGJQDXR3DV64EWRNR45CERFDD6KMSSVXDQ7RH4C, 198.25 , 579 , 389.11 , 190.00 , 0.86 , 2 , 3 , 5 ,
GC4BP2N3YF2VTZ4VDT2N5BZUWDJRFCUJS2HBMF2XLGCVK2WOCNR45IPG, 197.99 , 202 , 200.00 , 2.00 , 0.01 , 2 , 1 , 3 ,
GDMVKVPGBL5TMMIV6JJDN2EDO5ZNPK47X6BPMVXMBP6PPATWNG7HRBGU, 185.91 , 286 , 236.15 , 50.02 , 0.23 , 2 , 13 , 15 ,
GAMB2JTZUN54MX3NUCBNBLDXDVJI2CYKF2DDVLHR6BHMXN3PCONAETLZ, 174.04 , 174 , 174.04 , -   , -   , -   , 4 , 4 ,
GCHB46DRZ6V3RCLRBOQWSMW6QB6CWQ6PPPFL5MRENFHLXOZBAKDBYYTD, 167.16 ," 1,430 ", 800.00 , 630.00 , 2.84 , 4 , 7 , 11 ,
GB5VWPSYFE2HVNTXS2VWQGUZKAEOS65LHRJ3FG7Q6DYHG47U7X2VVXVU, 161.88 , 438 , 300.00 , 137.50 , 0.62 , 4 , 3 , 7 ,
GAJMKZX2XY2WR4FOBPW73EYOYL2J3NYHN7VDNQJBSJFHT7FBDFJHXUYD, 160.42 , 313 , 236.83 , 76.08 , 0.34 , 5 , 10 , 15 ,
GABDZO4MZE24BFA4EHG62VKKUUAZKWT2NCHG7OF5AIKDQ2HOEWZYV5UG, 150.03 ," 24,794 "," 12,500.00 "," 12,294.46 ", 55.52 , 15 , 22 , 37 ,
GC4IQIT2SZ2WYW77YG2DBCRMFYODKGU2KMWWORVWVLAOYW6WAMZOGVR7, 142.72 , 143 , 142.72 , -   , -   , -   , 3 , 3 ,
GAZ24G3R2LY3TYO32QLFSAAPNJANBL56JAJJFQOO2MUGGT44XM7PZOET, 139.56 , 140 , 139.56 , -   , -   , -   , 1 , 1 ,
GAUC7YNXDOY2AG4KI627T7FYF4AQ5EWXO36IWCIGL24NJK6SPNSIDJUA, 138.67 , 139 , 138.67 , -   , -   , -   , 2 , 2 ,
GCQDQRJPGWD6DSXQMRTW6CFSFLFGKZIZTVKLMTTDQIJGFIGNVNCLLHQD, 130.98 , 131 , 131.00 , 0.02 , 0.00 , 1 , 2 , 3 ,
GATYU7EQLGAOZMNKFUTFBK35IS7STZQGSZA6VFHAVBIQOH6PMUBARDTP, 130.74 , 131 , 130.76 , 0.02 , 0.00 , 1 , 2 , 3 ,
GAYX4X26JODENFK5BN2PHRLYK5ST7KWD5Q42GUDR6MD2JPKVP6YYTHVI, 130.55 , 131 , 130.55 , -   , -   , -   , 6 , 6 ,
GAOVVMM72LQUHRASRIBDQZAECUO5DJABSRH6GBNS62BDMTBYB3LZTUF4, 127.31 , 127 , 127.31 , -   , -   , -   , 11 , 11 ,
GDQDQL67YJYQA5QORAGLCPUAWSZHPFYIJ4R5VDIKZUVUDRKSVB6E4IPH, 116.26 , 116 , 116.26 , -   , -   , -   , 10 , 10 ,
GASXO35EYT4WORFYYK7FZREI23XOGM4RY2AAO6SPBROBMKFSIL2ILSPL, 116.00 , 116 , 116.00 , -   , -   , -   , 2 , 2 ,
GAG66SB7ARAGGJPC5QTZAANVYIH4TSVGONODUSFUREJ6OBZLYQB6HIGL, 115.11 , 115 , 115.11 , -   , -   , -   , 1 , 1 ,
GBG7ITX4ZSRBKJ446HNUD4ZQLIUZZI2OKZOSMLTQMF4IJ2R4AFNJD453, 115.00 , 115 , 115.00 , -   , -   , -   , 2 , 2 ,
GCNKNLU5TWNVD3F4WHZ7QEC5W42UGJPIOYJGAZZ3AUVERALVCJ73WFCI, 107.56 , 108 , 107.56 , -   , -   , -   , 4 , 4 ,
GAIOKXQP4CH2J7OJJ7S32KI24M247OZO4755EI2Y4JP4DU2RHRF57TA4, 102.73 , 103 , 102.73 , -   , -   , -   , 2 , 2 ,
GDXVILACR3YSBN3WVF26OWYA6QY7H6BZPO6FXHXEFIYWQ7BYT7HJLVPE, 102.00 , 102 , 102.00 , -   , -   , -   , 5 , 5 ,
GBRGPD4NZH2XX6ZMJJ3IDYVKSPYUHV2E35S5TBRBFLHAHXWUHCTDMRSO, 100.58 , 101 , 100.70 , 0.12 , 0.00 , 1 , 2 , 3 ,
GBZLJSTS5OW3SQTVASVAS7LG3SWXX6AFLS56J6YGKP4NROA5QQJAW7FH, 100.47 , 698 , 400.00 , 298.19 , 1.34 , 2 , 2 , 4 ,
GDOVYGZS7HMYH3VXFLKAB4533LYE5UZPB24AHCFKYQMOBCMNN4UVQGVY, 100.12 , 100 , 100.12 , -   , -   , -   , 2 , 2 ,
GDFESBNNWILL2GQ7YBV3CSRAC3ZBFACJUCXF7B3EPH2X46C6TE7JJZON, 100.03 , 100 , 100.03 , -   , -   , -   , 2 , 2 ,
GDOYWXSOWGWWKNSW55PGKD3SNDKZBHWSU2CYUL56UI7JPF3GBPKIJQE5, 100.02 , 100 , 100.10 , 0.08 , 0.00 , 1 , 2 , 3 ,
